Degree Name,Recommended Stage 2 Subjects
Bachelor of Software Engineering (Honours) (Apprenticeship),"Mathematical Methods, Specialist Mathematics, Physics, Digital Technologies"
Bachelor of Speech Pathology (Honours),"Biology, Psychology, Health Studies, English"
Bachelor of Sustainability and Climate Change,"Geography, Environmental Studies, Biology, Legal Studies"
Bachelor of Sustainability and Climate Change majoring in Aboriginal Studies,"Geography, Environmental Studies, Aboriginal Studies, Society and Culture"
Bachelor of Sustainability and Climate Change majoring in Anthropology,"Modern History, Environmental Studies, Legal Studies, Society and Culture"
Bachelor of Sustainability and Climate Change majoring in Environmental Management,"Geography, Environmental Studies, Biology, Chemistry"
Bachelor of Sustainability and Climate Change majoring in Geography,"Geography, Environmental Studies, Biology, Modern History"
Bachelor of Sustainability and Climate Change majoring in International Development,"Geography, Environmental Studies, Legal Studies, Society and Culture"
Bachelor of Sustainability and Climate Change majoring in International Security,"Geography, Environmental Studies, Politics, Society and Culture"
Bachelor of Sustainability and Climate Change majoring in Politics,"Geography, Environmental Studies, Politics, Legal Studies"
Bachelor of Sustainability and Climate Change majoring in Population and Migration Studies,"Geography, Environmental Studies, Modern History, Society and Culture"
Bachelor of Sustainability and Climate Change majoring in Sociology,"Geography, Environmental Studies, Modern History, Society and Culture"
Bachelor of Teaching (Early Childhood Education),"English, Health and Wellbeing, Psychology, Mathematical Methods"
Bachelor of Teaching (Primary) (Honours),"English, Health and Wellbeing, Psychology, Mathematical Methods"
Bachelor of Teaching (Secondary) (Honours),"English, Physics, Mathematical Methods, Chemistry"
Bachelor of Veterinary Technology,"English, Biology, Chemistry, Mathematical Methods"
Bachelor of Visual Effects,"Media Studies, Visual Arts — Design, Digital Media and Web Design, Digital Communication Solutions"
Bachelor of Viticulture and Oenology,"English, Biology, Chemistry, Earth and Environmental Science"
